DATE,ATNHPIUS06087A
1975-01-01,10.53
1976-01-01,11.86
1977-01-01,15.39
1978-01-01,18.88
1979-01-01,22.48
1980-01-01,26.44
1981-01-01,29.22
1982-01-01,28.90
1983-01-01,29.97
1984-01-01,31.29
1985-01-01,33.43
1986-01-01,35.93
1987-01-01,39.40
1988-01-01,46.35
1989-01-01,58.80
1990-01-01,63.43
1991-01-01,63.45
1992-01-01,62.52
1993-01-01,60.52
1994-01-01,59.66
1995-01-01,59.89
1996-01-01,60.70
1997-01-01,63.70
1998-01-01,71.49
1999-01-01,78.29
2000-01-01,100.00
2001-01-01,113.80
2002-01-01,119.31
2003-01-01,124.11
2004-01-01,138.98
2005-01-01,169.07
2006-01-01,181.26
2007-01-01,175.59
2008-01-01,155.60
2009-01-01,135.68
2010-01-01,128.24
2011-01-01,120.38
2012-01-01,121.56
2013-01-01,132.00
2014-01-01,148.23
2015-01-01,160.08
2016-01-01,174.60
2017-01-01,185.54
2018-01-01,195.56
2019-01-01,198.60
2020-01-01,197.72
2021-01-01,218.61
2022-01-01,251.58
2023-01-01,249.77
