"CoC Number","CoC Name","Total Homeless, 2007","Sheltered Homeless, 2007","Unsheltered Homeless, 2007","Homeless Individuals, 2007","Sheltered Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Homeless People in Families, 2007","Sheltered Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Chronically Homeless Individuals, 2007","Sheltered Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007"
"AK-500","Anchorage CoC","974.0","842.0","132.0","696.0","589.0","107.0","278.0","253.0","25.0","224.0","187.0","37.0"
"AK-501","Alaska Balance of State CoC","668.0","545.0","123.0","366.0","302.0","64.0","302.0","243.0","59.0","54.0","34.0","20.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","2104.0","1240.0","864.0","1529.0","833.0","696.0","575.0","407.0","168.0","516.0","269.0","247.0"
"AL-501","Mobile City & County/Baldwin County CoC","649.0","410.0","239.0","499.0","260.0","239.0","150.0","150.0","0.0","84.0","10.0","74.0"
"AL-502","Florence/Northwest Alabama CoC","265.0","131.0","134.0","143.0","93.0","50.0","122.0","38.0","84.0","8.0","0.0","8.0"
"AL-503","Huntsville/North Alabama CoC","830.0","756.0","74.0","761.0","687.0","74.0","69.0","69.0","0.0","215.0","144.0","71.0"
"AL-504","Montgomery City & County CoC","456.0","331.0","125.0","392.0","270.0","122.0","64.0","61.0","3.0","108.0","39.0","69.0"
"AL-505","Gadsden/Northeast Alabama CoC","119.0","104.0","15.0","103.0","90.0","13.0","16.0","14.0","2.0","4.0","0.0","4.0"
"AL-506","Tuscaloosa City & County CoC","345.0","332.0","13.0","294.0","285.0","9.0","51.0","47.0","4.0","15.0","15.0","0.0"
"AL-507","Alabama Balance of State CoC","684.0","492.0","192.0","463.0","305.0","158.0","221.0","187.0","34.0","43.0","6.0","37.0"
"AR-500","Little Rock/Central Arkansas CoC","1822.0","1187.0","635.0","1632.0","1009.0","623.0","190.0","178.0","12.0","491.0","300.0","191.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","279.0","244.0","35.0","157.0","133.0","24.0","122.0","111.0","11.0","34.0","25.0","9.0"
"AR-502","Conway/Arkansas River Valley","163.0","59.0","104.0","87.0","19.0","68.0","76.0","40.0","36.0","15.0","0.0","15.0"
"AR-504","Delta Hills CoC","901.0","391.0","510.0","626.0","347.0","279.0","275.0","44.0","231.0","228.0","43.0","185.0"
"AR-505","Southeast Arkansas","130.0","120.0","10.0","35.0","32.0","3.0","95.0","88.0","7.0","25.0","25.0","0.0"
"AR-506","Johnson, Pope, Yell Counties","21.0","18.0","3.0","21.0","18.0","3.0","0.0","0.0","0.0","1.0","0.0","1.0"
"AR-508","Old Fort Homeless Coalition","194.0","147.0","47.0","157.0","111.0","46.0","37.0","36.0","1.0","35.0","15.0","20.0"
"AR-509","Hot Springs/South West Arkansas CoC","4.0","2.0","2.0","4.0","2.0","2.0","0.0","0.0","0.0","3.0","1.0","2.0"
"AR-510","Hempstead, Sevier, Howard, Little River  Counties CoC","322.0","117.0","205.0","268.0","95.0","173.0","54.0","22.0","32.0","20.0","0.0","20.0"
"AZ-500","Arizona Balance of State CoC","2997.0","1013.0","1984.0","2235.0","532.0","1703.0","762.0","481.0","281.0","425.0","93.0","332.0"
"AZ-501","Tucson/Pima County CoC","3201.0","2010.0","1191.0","2258.0","1159.0","1099.0","943.0","851.0","92.0","890.0","150.0","740.0"
"AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","8448.0","5595.0","2853.0","5527.0","2732.0","2795.0","2921.0","2863.0","58.0","1489.0","407.0","1082.0"
"CA-500","San Jose/Santa Clara City & County CoC","7202.0","2101.0","5101.0","5945.0","1105.0","4840.0","1257.0","996.0","261.0","1757.0","223.0","1534.0"
"CA-501","San Francisco CoC","5703.0","2912.0","2791.0","5171.0","2400.0","2771.0","532.0","512.0","20.0","1735.0","738.0","997.0"
"CA-502","Oakland/Alameda County CoC","4838.0","2342.0","2496.0","3026.0","1257.0","1769.0","1812.0","1085.0","727.0","1257.0","318.0","939.0"
"CA-503","Sacramento City & County CoC","2452.0","1447.0","1005.0","1965.0","982.0","983.0","487.0","465.0","22.0","718.0","215.0","503.0"
"CA-504","Santa Rosa/Petaluma/Sonoma County CoC","1314.0","782.0","532.0","888.0","407.0","481.0","426.0","375.0","51.0","297.0","79.0","218.0"
"CA-505","Richmond/Contra Costa County CoC","4062.0","903.0","3159.0","2892.0","332.0","2560.0","1170.0","571.0","599.0","1225.0","88.0","1137.0"
"CA-506","Salinas/Monterey, San Benito Counties CoC","1402.0","509.0","893.0","1149.0","262.0","887.0","253.0","247.0","6.0","336.0","27.0","309.0"
"CA-507","Marin County CoC","1002.0","602.0","400.0","846.0","465.0","381.0","156.0","137.0","19.0","172.0","41.0","131.0"
"CA-508","Watsonville/Santa Cruz City & County CoC","2789.0","486.0","2303.0","2408.0","261.0","2147.0","381.0","225.0","156.0","1161.0","68.0","1093.0"
"CA-509","Mendocino County CoC","1422.0","284.0","1138.0","1192.0","164.0","1028.0","230.0","120.0","110.0","520.0","136.0","384.0"
"CA-510","Turlock/Modesto/Stanislaus County CoC","1593.0","634.0","959.0","1001.0","282.0","719.0","592.0","352.0","240.0","552.0","82.0","470.0"
"CA-511","Stockton/San Joaquin County CoC","2479.0","2176.0","303.0","1657.0","1417.0","240.0","822.0","759.0","63.0","201.0","144.0","57.0"
"CA-512","Daly/San Mateo County CoC","1798.0","704.0","1094.0","1388.0","310.0","1078.0","410.0","394.0","16.0","475.0","25.0","450.0"
"CA-513","Visalia, Kings, Tulare Counties CoC","1106.0","280.0","826.0","537.0","168.0","369.0","569.0","112.0","457.0","49.0","6.0","43.0"
"CA-514","Fresno/Madera County CoC","4247.0","2735.0","1512.0","2666.0","2029.0","637.0","1581.0","706.0","875.0","941.0","629.0","312.0"
"CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC","587.0","450.0","137.0","368.0","244.0","124.0","219.0","206.0","13.0","48.0","22.0","26.0"
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","296.0","250.0","46.0","147.0","121.0","26.0","149.0","129.0","20.0","86.0","67.0","19.0"
"CA-517","Napa City & County CoC","365.0","219.0","146.0","236.0","114.0","122.0","129.0","105.0","24.0","150.0","52.0","98.0"
"CA-518","Vallejo/Solano County CoC","1956.0","457.0","1499.0","818.0","225.0","593.0","1138.0","232.0","906.0","524.0","31.0","493.0"
"CA-519","Chico/Paradise/Butte County CoC","1478.0","936.0","542.0","1057.0","589.0","468.0","421.0","347.0","74.0","353.0","188.0","165.0"
"CA-520","Merced City & County CoC","2641.0","221.0","2420.0","2195.0","186.0","2009.0","446.0","35.0","411.0","701.0","0.0","701.0"
"CA-521","Davis/Woodland/Yolo County CoC","414.0","228.0","186.0","292.0","110.0","182.0","122.0","118.0","4.0","93.0","15.0","78.0"
"CA-522","Humboldt County CoC","907.0","322.0","585.0","366.0","139.0","227.0","541.0","183.0","358.0","219.0","29.0","190.0"
"CA-523","Colusa, Glenn, Trinity Counties CoC","155.0","54.0","101.0","61.0","18.0","43.0","94.0","36.0","58.0","27.0","0.0","27.0"
"CA-524","Yuba City & County/Sutter County CoC","362.0","299.0","63.0","212.0","153.0","59.0","150.0","146.0","4.0","44.0","9.0","35.0"
"CA-525","El Dorado County CoC","107.0","91.0","16.0","65.0","54.0","11.0","42.0","37.0","5.0","8.0","7.0","1.0"
"CA-526","Amador, Calaveras, Tuolumne and Mariposa Counties CoC","400.0","79.0","321.0","252.0","26.0","226.0","148.0","53.0","95.0","90.0","14.0","76.0"
"CA-600","Los Angeles City & County CoC","47862.0","11442.0","36420.0","44185.0","8417.0","35768.0","3677.0","3025.0","652.0","19031.0","1604.0","17427.0"
"CA-601","San Diego City and County CoC","7326.0","3981.0","3345.0","5295.0","2345.0","2950.0","2031.0","1636.0","395.0","975.0","268.0","707.0"
"CA-602","Santa Ana/Anaheim/Orange County CoC","3649.0","2578.0","1071.0","2112.0","1296.0","816.0","1537.0","1282.0","255.0","257.0","36.0","221.0"
"CA-603","Santa Maria/Santa Barbara County CoC","4253.0","1480.0","2773.0","3212.0","711.0","2501.0","1041.0","769.0","272.0","503.0","244.0","259.0"
"CA-604","Bakersfield/Kern County CoC","1537.0","905.0","632.0","1248.0","646.0","602.0","289.0","259.0","30.0","316.0","69.0","247.0"
