"CoC Number","CoC Name","Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013"
"AK-500","Anchorage CoC","1122.0","1070.0","52.0","844.0","792.0","52.0","278.0","278.0","0.0","89.0","68.0","21.0","83.0","62.0","21.0","6.0","6.0","0.0","144.0","138.0","6.0"
"AK-501","Alaska Balance of State CoC","824.0","671.0","153.0","518.0","416.0","102.0","306.0","255.0","51.0","95.0","70.0","25.0","83.0","62.0","21.0","12.0","8.0","4.0","66.0","50.0","16.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1469.0","960.0","509.0","1089.0","677.0","412.0","380.0","283.0","97.0","427.0","156.0","271.0","411.0","145.0","266.0","16.0","11.0","5.0","194.0","155.0","39.0"
"AL-501","Mobile City & County/Baldwin County CoC","493.0","260.0","233.0","343.0","122.0","221.0","150.0","138.0","12.0","91.0","10.0","81.0","89.0","8.0","81.0","2.0","2.0","0.0","41.0","5.0","36.0"
"AL-502","Florence/Northwest Alabama CoC","223.0","197.0","26.0","133.0","116.0","17.0","90.0","81.0","9.0","30.0","10.0","20.0","14.0","5.0","9.0","16.0","5.0","11.0","2.0","0.0","2.0"
"AL-503","Huntsville/North Alabama CoC","586.0","409.0","177.0","457.0","295.0","162.0","129.0","114.0","15.0","120.0","46.0","74.0","114.0","44.0","70.0","6.0","2.0","4.0","77.0","33.0","44.0"
"AL-504","Montgomery City & County CoC","515.0","399.0","116.0","446.0","330.0","116.0","69.0","69.0","0.0","69.0","11.0","58.0","69.0","11.0","58.0","0.0","0.0","0.0","59.0","44.0","15.0"
"AL-505","Gadsden/Northeast Alabama CoC","399.0","329.0","70.0","275.0","231.0","44.0","124.0","98.0","26.0","40.0","20.0","20.0","20.0","10.0","10.0","20.0","10.0","10.0","31.0","26.0","5.0"
"AL-506","Tuscaloosa City & County CoC","99.0","95.0","4.0","72.0","68.0","4.0","27.0","27.0","0.0","9.0","5.0","4.0","9.0","5.0","4.0","0.0","0.0","0.0","66.0","66.0","0.0"
"AL-507","Alabama Balance of State CoC","905.0","597.0","308.0","572.0","373.0","199.0","333.0","224.0","109.0","72.0","37.0","35.0","42.0","21.0","21.0","30.0","16.0","14.0","41.0","34.0","7.0"
"AR-500","Little Rock/Central Arkansas CoC","1066.0","563.0","503.0","986.0","483.0","503.0","80.0","80.0","0.0","373.0","69.0","304.0","364.0","60.0","304.0","9.0","9.0","0.0","260.0","204.0","56.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","668.0","446.0","222.0","379.0","202.0","177.0","289.0","244.0","45.0","65.0","27.0","38.0","47.0","9.0","38.0","18.0","18.0","0.0","147.0","90.0","57.0"
"AR-503","Arkansas  Balance of State  CoC","1678.0","422.0","1256.0","1562.0","327.0","1235.0","116.0","95.0","21.0","105.0","53.0","52.0","103.0","53.0","50.0","2.0","0.0","2.0","42.0","23.0","19.0"
"AR-504","Delta Hills CoC","254.0","122.0","132.0","172.0","111.0","61.0","82.0","11.0","71.0","46.0","18.0","28.0","38.0","16.0","22.0","8.0","2.0","6.0","9.0","5.0","4.0"
"AR-505","Southeast Arkansas","64.0","63.0","1.0","34.0","33.0","1.0","30.0","30.0","0.0","4.0","4.0","0.0","4.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
