"CoC Number","CoC Name","Total Homeless, 2017","Sheltered Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Chronically Homeless, 2017","Sheltered Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Children (Under 18), 2017","Sheltered Homeless Unaccompanied Children (Under 18), 2017","Unsheltered Homeless Unaccompanied Children (Under 18), 2017","Homeless Unaccompanied Young Adults (Age 18-24), 2017","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Parenting Youth (Under 25), 2017","Sheltered Parenting Youth (Under 25), 2017","Unsheltered Parenting Youth (Under 25), 2017","Parenting Youth Under 18, 2017","Sheltered Parenting Youth Under 18, 2017","Unsheltered Parenting Youth Under 18, 2017","Parenting Youth Age 18-24, 2017","Sheltered Parenting Youth Age 18-24, 2017","Unsheltered Parenting Youth Age 18-24, 2017","Children of Parenting Youth, 2017","Sheltered Children of Parenting Youth, 2017","Unsheltered Children of Parenting Youth, 2017"
"AK-500","Anchorage CoC","1128.0","973.0","155.0","848.0","693.0","155.0","280.0","280.0","0.0","116.0","72.0","44.0","114.0","70.0","44.0","2.0","2.0","0.0","69.0","57.0","12.0","115.0","101.0","14.0","8.0","8.0","0.0","107.0","93.0","14.0","12.0","12.0","0.0","0.0","0.0","0.0","12.0","12.0","0.0","21.0","21.0","0.0"
"AK-501","Alaska Balance of State CoC","717.0","578.0","139.0","506.0","367.0","139.0","211.0","211.0","0.0","141.0","86.0","55.0","102.0","47.0","55.0","39.0","39.0","0.0","55.0","38.0","17.0","47.0","41.0","6.0","7.0","7.0","0.0","40.0","34.0","6.0","10.0","10.0","0.0","0.0","0.0","0.0","10.0","10.0","0.0","18.0","18.0","0.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1092.0","875.0","217.0","932.0","715.0","217.0","160.0","160.0","0.0","92.0","31.0","61.0","89.0","28.0","61.0","3.0","3.0","0.0","40.0","29.0","11.0","125.0","80.0","45.0","2.0","2.0","0.0","123.0","78.0","45.0","8.0","8.0","0.0","6.0","6.0","0.0","2.0","2.0","0.0","10.0","10.0","0.0"
"AL-501","Mobile City & County/Baldwin County CoC","606.0","341.0","265.0","426.0","179.0","247.0","180.0","162.0","18.0","65.0","9.0","56.0","65.0","9.0","56.0","0.0","0.0","0.0","76.0","50.0","26.0","18.0","9.0","9.0","0.0","0.0","0.0","18.0","9.0","9.0","12.0","12.0","0.0","0.0","0.0","0.0","12.0","12.0","0.0","18.0","18.0","0.0"
"AL-502","Florence/Northwest Alabama CoC","155.0","133.0","22.0","155.0","133.0","22.0","0.0","0.0","0.0","24.0","10.0","14.0","24.0","10.0","14.0","0.0","0.0","0.0","11.0","3.0","8.0","8.0","7.0","1.0","0.0","0.0","0.0","8.0","7.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AL-503","Huntsville/North Alabama CoC","436.0","337.0","99.0","327.0","230.0","97.0","109.0","107.0","2.0","64.0","49.0","15.0","61.0","46.0","15.0","3.0","3.0","0.0","27.0","23.0","4.0","30.0","25.0","5.0","13.0","13.0","0.0","17.0","12.0","5.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","3.0","3.0","0.0"
"AL-504","Montgomery City & County CoC","377.0","314.0","63.0","284.0","225.0","59.0","93.0","89.0","4.0","45.0","39.0","6.0","45.0","39.0","6.0","0.0","0.0","0.0","55.0","53.0","2.0","23.0","23.0","0.0","5.0","5.0","0.0","18.0","18.0","0.0","4.0","4.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","4.0","4.0","0.0"
"AL-505","Gadsden/Northeast Alabama CoC","163.0","103.0","60.0","130.0","70.0","60.0","33.0","33.0","0.0","43.0","15.0","28.0","43.0","15.0","28.0","0.0","0.0","0.0","4.0","1.0","3.0","20.0","18.0","2.0","14.0","14.0","0.0","6.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AL-506","Tuscaloosa City & County CoC","200.0","137.0","63.0","140.0","77.0","63.0","60.0","60.0","0.0","24.0","15.0","9.0","11.0","2.0","9.0","13.0","13.0","0.0","41.0","34.0","7.0","31.0","3.0","28.0","0.0","0.0","0.0","31.0","3.0","28.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AL-507","Alabama Balance of State CoC","764.0","416.0","348.0","591.0","321.0","270.0","173.0","95.0","78.0","6.0","3.0","3.0","6.0","3.0","3.0","0.0","0.0","0.0","15.0","9.0","6.0","39.0","17.0","22.0","2.0","0.0","2.0","37.0","17.0","20.0","3.0","0.0","3.0","0.0","0.0","0.0","3.0","0.0","3.0","4.0","0.0","4.0"
"AR-500","Little Rock/Central Arkansas CoC","1006.0","456.0","550.0","892.0","374.0","518.0","114.0","82.0","32.0","226.0","76.0","150.0","216.0","76.0","140.0","10.0","0.0","10.0","121.0","67.0","54.0","75.0","37.0","38.0","8.0","6.0","2.0","67.0","31.0","36.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","2.0","2.0","0.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","330.0","235.0","95.0","235.0","140.0","95.0","95.0","95.0","0.0","66.0","29.0","37.0","59.0","22.0","37.0","7.0","7.0","0.0","46.0","29.0","17.0","12.0","8.0","4.0","0.0","0.0","0.0","12.0","8.0","4.0","4.0","4.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","4.0","4.0","0.0"
"AR-503","Arkansas  Balance of State  CoC","822.0","387.0","435.0","738.0","320.0","418.0","84.0","67.0","17.0","107.0","27.0","80.0","107.0","27.0","80.0","0.0","0.0","0.0","32.0","20.0","12.0","99.0","26.0","73.0","0.0","0.0","0.0","99.0","26.0","73.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","5.0","5.0","0.0"
"AR-505","Southeast Arkansas","88.0","88.0","0.0","49.0","49.0","0.0","39.0","39.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","13.0","13.0","0.0","9.0","9.0","0.0","4.0","4.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","2.0","2.0","0.0"
"AR-508","Old Fort Homeless Coalition","168.0","80.0","88.0","131.0","54.0","77.0","37.0","26.0","11.0","71.0","15.0","56.0","65.0","13.0","52.0","6.0","2.0","4.0","37.0","12.0","25.0","7.0","3.0","4.0","0.0","0.0","0.0","7.0","3.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-512","Boone, Baxter, Marion, Newton Counties CoC","53.0","27.0","26.0","23.0","0.0","23.0","30.0","27.0","3.0","3.0","0.0","3.0","3.0","0.0","3.0","0.0","0.0","0.0","1.0","0.0","1.0","2.0","0.0","2.0","0.0","0.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AZ-500","Arizona Balance of State CoC","1768.0","1046.0","722.0","1434.0","782.0","652.0","334.0","264.0","70.0","388.0","68.0","320.0","358.0","59.0","299.0","30.0","9.0","21.0","238.0","113.0","125.0","125.0","78.0","47.0","12.0","11.0","1.0","113.0","67.0","46.0","9.0","9.0","0.0","0.0","0.0","0.0","9.0","9.0","0.0","8.0","8.0","0.0"
"AZ-501","Tucson/Pima County CoC","1574.0","1189.0","385.0","1249.0","864.0","385.0","325.0","325.0","0.0","225.0","169.0","56.0","223.0","167.0","56.0","2.0","2.0","0.0","243.0","187.0","56.0","133.0","88.0","45.0","4.0","3.0","1.0","129.0","85.0","44.0","27.0","27.0","0.0","0.0","0.0","0.0","27.0","27.0","0.0","35.0","35.0","0.0"
"AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","5605.0","3546.0","2059.0","3805.0","1777.0","2028.0","1800.0","1769.0","31.0","939.0","309.0","630.0","882.0","266.0","616.0","57.0","43.0","14.0","489.0","341.0","148.0","320.0","179.0","141.0","39.0","31.0","8.0","281.0","148.0","133.0","45.0","45.0","0.0","0.0","0.0","0.0","45.0","45.0","0.0","69.0","69.0","0.0"
