"State","Number of CoCs","Total Homeless, 2010","Sheltered Homeless, 2010","Unsheltered Homeless, 2010","Homeless Individuals, 2010","Sheltered Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Homeless People in Families, 2010","Sheltered Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Chronically Homeless Individuals, 2010","Sheltered Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010","Homeless Veterans, 2010","Sheltered Homeless Veterans, 2010","Unsheltered Homeless Veterans, 2010"
"AK","2.0","1863.0","1671.0","192.0","1118.0","953.0","165.0","745.0","718.0","27.0","164.0","119.0","45.0","300.0","270.0","30.0"
"AL","8.0","6046.0","3891.0","2155.0","4553.0","2857.0","1696.0","1493.0","1034.0","459.0","1043.0","502.0","541.0","1089.0","911.0","178.0"
"AR","5.0","2762.0","1728.0","1034.0","2120.0","1312.0","808.0","642.0","416.0","226.0","395.0","145.0","250.0","362.0","247.0","115.0"
"AZ","3.0","13711.0","7214.0","6497.0","9226.0","3366.0","5860.0","4485.0","3848.0","637.0","1935.0","544.0","1391.0","2230.0","1052.0","1178.0"
"CA","43.0","123480.0","50899.0","72581.0","96940.0","32302.0","64638.0","26540.0","18597.0","7943.0","31235.0","6964.0","24271.0","17604.0","6600.0","11004.0"
"CO","3.0","15482.0","9031.0","6451.0","7574.0","4576.0","2998.0","7908.0","4455.0","3453.0","1432.0","510.0","922.0","1316.0","853.0","463.0"
"CT","10.0","4316.0","3817.0","499.0","2993.0","2511.0","482.0","1323.0","1306.0","17.0","777.0","595.0","182.0","483.0","423.0","60.0"
"DC","1.0","6539.0","6109.0","430.0","4016.0","3586.0","430.0","2523.0","2523.0","0.0","2110.0","1723.0","387.0","579.0","563.0","16.0"
"DE","1.0","982.0","930.0","52.0","681.0","629.0","52.0","301.0","301.0","0.0","97.0","71.0","26.0","74.0","69.0","5.0"
"FL","28.0","57551.0","21817.0","35734.0","35738.0","13231.0","22507.0","21813.0","8586.0","13227.0","9232.0","3700.0","5532.0","7794.0","2818.0","4976.0"
"GA","7.0","19836.0","8746.0","11090.0","14377.0","5612.0","8765.0","5459.0","3134.0","2325.0","3635.0","1495.0","2140.0","2766.0","1372.0","1394.0"
"GU","1.0","1635.0","182.0","1453.0","534.0","37.0","497.0","1101.0","145.0","956.0","28.0","1.0","27.0","27.0","5.0","22.0"
"HI","2.0","5834.0","3535.0","2299.0","2889.0","944.0","1945.0","2945.0","2591.0","354.0","801.0","96.0","705.0","419.0","176.0","243.0"
"IA","3.0","3014.0","2903.0","111.0","1528.0","1426.0","102.0","1486.0","1477.0","9.0","249.0","182.0","67.0","221.0","207.0","14.0"
"ID","2.0","2346.0","1564.0","782.0","1445.0","831.0","614.0","901.0","733.0","168.0","111.0","37.0","74.0","239.0","128.0","111.0"
"IL","21.0","14395.0","12208.0","2187.0","7568.0","5767.0","1801.0","6827.0","6441.0","386.0","2130.0","1435.0","695.0","1133.0","886.0","247.0"
"IN","3.0","6452.0","5233.0","1219.0","3588.0","2736.0","852.0","2864.0","2497.0","367.0","775.0","478.0","297.0","767.0","633.0","134.0"
"KS","5.0","2024.0","1828.0","196.0","1318.0","1166.0","152.0","706.0","662.0","44.0","191.0","149.0","42.0","711.0","660.0","51.0"
"KY","3.0","6623.0","5599.0","1024.0","4125.0","3261.0","864.0","2498.0","2338.0","160.0","695.0","404.0","291.0","619.0","534.0","85.0"
"LA","9.0","12482.0","4096.0","8386.0","10101.0","2390.0","7711.0","2381.0","1706.0","675.0","4815.0","226.0","4589.0","2015.0","502.0","1513.0"
"MA","20.0","16646.0","15595.0","1051.0","6403.0","5483.0","920.0","10243.0","10112.0","131.0","2007.0","1502.0","505.0","1597.0","1449.0","148.0"
"MD","16.0","10845.0","6515.0","4330.0","5999.0","3902.0","2097.0","4846.0","2613.0","2233.0","2179.0","1231.0","948.0","910.0","646.0","264.0"
"ME","3.0","2379.0","2351.0","28.0","1061.0","1033.0","28.0","1318.0","1318.0","0.0","226.0","221.0","5.0","108.0","105.0","3.0"
"MI","21.0","13058.0","10219.0","2839.0","7365.0","5371.0","1994.0","5693.0","4848.0","845.0","1824.0","1309.0","515.0","964.0","785.0","179.0"
"MN","11.0","7869.0","6730.0","1139.0","3605.0","2934.0","671.0","4264.0","3796.0","468.0","1490.0","1149.0","341.0","644.0","553.0","91.0"
"MO","8.0","8122.0","6336.0","1786.0","4427.0","3290.0","1137.0","3695.0","3046.0","649.0","1287.0","977.0","310.0","759.0","629.0","130.0"
"MP","0.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MS","3.0","2743.0","1181.0","1562.0","1924.0","661.0","1263.0","819.0","520.0","299.0","357.0","130.0","227.0","339.0","215.0","124.0"
"MT","1.0","1615.0","1168.0","447.0","890.0","562.0","328.0","725.0","606.0","119.0","145.0","96.0","49.0","262.0","156.0","106.0"
"NC","12.0","12191.0","9173.0","3018.0","8361.0","5892.0","2469.0","3830.0","3281.0","549.0","1479.0","1077.0","402.0","1084.0","907.0","177.0"
"ND","1.0","799.0","768.0","31.0","539.0","513.0","26.0","260.0","255.0","5.0","64.0","61.0","3.0","119.0","114.0","5.0"
"NE","7.0","3877.0","3355.0","522.0","2423.0","2018.0","405.0","1454.0","1337.0","117.0","535.0","416.0","119.0","305.0","243.0","62.0"
"NH","3.0","1574.0","1337.0","237.0","943.0","740.0","203.0","631.0","597.0","34.0","326.0","280.0","46.0","173.0","143.0","30.0"
"NJ","20.0","13737.0","12083.0","1654.0","6520.0","5271.0","1249.0","7217.0","6812.0","405.0","877.0","617.0","260.0","567.0","488.0","79.0"
"NM","2.0","3475.0","2108.0","1367.0","2343.0","1102.0","1241.0","1132.0","1006.0","126.0","779.0","341.0","438.0","441.0","259.0","182.0"
"NV","3.0","11205.0","7848.0","3357.0","9565.0","6233.0","3332.0","1640.0","1615.0","25.0","1415.0","253.0","1162.0","1843.0","1230.0","613.0"
"NY","32.0","65606.0","61467.0","4139.0","26293.0","22292.0","4001.0","39313.0","39175.0","138.0","4259.0","1905.0","2354.0","5857.0","5046.0","811.0"
"OH","9.0","12569.0","10729.0","1840.0","7719.0","6295.0","1424.0","4850.0","4434.0","416.0","2240.0","1676.0","564.0","1527.0","1293.0","234.0"
"OK","8.0","5229.0","3315.0","1914.0","3317.0","2239.0","1078.0","1912.0","1076.0","836.0","620.0","395.0","225.0","474.0","350.0","124.0"
"OR","8.0","19492.0","7231.0","12261.0","10731.0","3654.0","7077.0","8761.0","3577.0","5184.0","2601.0","683.0","1918.0","1285.0","573.0","712.0"
"PA","17.0","14516.0","13418.0","1098.0","7191.0","6125.0","1066.0","7325.0","7293.0","32.0","1524.0","868.0","656.0","1441.0","1274.0","167.0"
"PR","2.0","4149.0","1404.0","2745.0","3721.0","1124.0","2597.0","428.0","280.0","148.0","2218.0","684.0","1534.0","106.0","33.0","73.0"
"RI","1.0","1282.0","1206.0","76.0","704.0","632.0","72.0","578.0","574.0","4.0","86.0","60.0","26.0","91.0","87.0","4.0"
"SC","4.0","4473.0","3036.0","1437.0","3194.0","1945.0","1249.0","1279.0","1091.0","188.0","674.0","392.0","282.0","687.0","497.0","190.0"
"SD","1.0","731.0","667.0","64.0","445.0","381.0","64.0","286.0","286.0","0.0","109.0","45.0","64.0","135.0","118.0","17.0"
"TN","10.0","10276.0","6999.0","3277.0","7623.0","5060.0","2563.0","2653.0","1939.0","714.0","2495.0","1496.0","999.0","1679.0","1075.0","604.0"
"TX","17.0","35121.0","19191.0","15930.0","24078.0","11249.0","12829.0","11043.0","7942.0","3101.0","6512.0","2577.0","3935.0","5133.0","2688.0","2445.0"
"UT","3.0","3284.0","2722.0","562.0","1926.0","1393.0","533.0","1358.0","1329.0","29.0","406.0","125.0","281.0","342.0","301.0","41.0"
"VA","22.0","9080.0","7439.0","1641.0","5338.0","3966.0","1372.0","3742.0","3473.0","269.0","1510.0","983.0","527.0","995.0","830.0","165.0"
"VI","1.0","487.0","92.0","395.0","468.0","73.0","395.0","19.0","19.0","0.0","385.0","20.0","365.0","42.0","10.0","32.0"
"VT","2.0","1220.0","1078.0","142.0","797.0","672.0","125.0","423.0","406.0","17.0","133.0","85.0","48.0","117.0","104.0","13.0"
"WA","7.0","22878.0","16489.0","6389.0","11901.0","6705.0","5196.0","10977.0","9784.0","1193.0","2106.0","1281.0","825.0","2043.0","1282.0","761.0"
"WI","4.0","6333.0","5253.0","1080.0","3040.0","2598.0","442.0","3293.0","2655.0","638.0","727.0","608.0","119.0","609.0","581.0","28.0"
"WV","4.0","2264.0","1524.0","740.0","1527.0","1048.0","479.0","737.0","476.0","261.0","516.0","358.0","158.0","576.0","393.0","183.0"
"WY","1.0","579.0","515.0","64.0","327.0","269.0","58.0","252.0","246.0","6.0","101.0","52.0","49.0","85.0","71.0","14.0"
"Total","444.0","637077.0","403543.0","233534.0","395140.0","212218.0","182922.0","241937.0","191325.0","50612.0","106062.0","43329.0","62733.0","74087.0","43437.0","30650.0"
