"State","Number of CoCs","Total Homeless, 2012","Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
"AK","2.0","1913.0","1716.0","197.0","1298.0","1157.0","141.0","615.0","559.0","56.0","279.0","263.0","16.0","273.0","257.0","16.0","6.0","6.0","0.0","256.0","227.0","29.0"
"AL","8.0","5209.0","3664.0","1545.0","3825.0","2573.0","1252.0","1384.0","1091.0","293.0","969.0","353.0","616.0","910.0","331.0","579.0","59.0","22.0","37.0","526.0","377.0","149.0"
"AR","6.0","4214.0","1602.0","2612.0","3428.0","1191.0","2237.0","786.0","411.0","375.0","437.0","171.0","266.0","361.0","142.0","219.0","76.0","29.0","47.0","362.0","205.0","157.0"
"AZ","3.0","11302.0","8215.0","3087.0","6310.0","3786.0","2524.0","4992.0","4429.0","563.0","1895.0","615.0","1280.0","1605.0","389.0","1216.0","290.0","226.0","64.0","1478.0","1007.0","471.0"
"CA","42.0","120098.0","45890.0","74208.0","94888.0","26494.0","68394.0","25210.0","19396.0","5814.0","33356.0","5458.0","27898.0","30189.0","4912.0","25277.0","3167.0","546.0","2621.0","14611.0","4512.0","10099.0"
"CO","3.0","16768.0","7260.0","9508.0","5101.0","2847.0","2254.0","11667.0","4413.0","7254.0","1943.0","784.0","1159.0","1612.0","493.0","1119.0","331.0","291.0","40.0","1512.0","800.0","712.0"
"CT","7.0","4209.0","3514.0","695.0","2906.0","2252.0","654.0","1303.0","1262.0","41.0","944.0","614.0","330.0","924.0","594.0","330.0","20.0","20.0","0.0","332.0","285.0","47.0"
"DC","1.0","6954.0","6275.0","679.0","3767.0","3088.0","679.0","3187.0","3187.0","0.0","2315.0","1773.0","542.0","1870.0","1328.0","542.0","445.0","445.0","0.0","531.0","466.0","65.0"
"DE","1.0","1008.0","986.0","22.0","611.0","589.0","22.0","397.0","397.0","0.0","100.0","89.0","11.0","84.0","73.0","11.0","16.0","16.0","0.0","66.0","64.0","2.0"
"FL","28.0","55170.0","19832.0","35338.0","36771.0","12801.0","23970.0","18399.0","7031.0","11368.0","10054.0","2406.0","7648.0","8682.0","2132.0","6550.0","1372.0","274.0","1098.0","5331.0","2201.0","3130.0"
