"State","Number of CoCs","Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
"AK","2.0","1956.0","1639.0","317.0","1342.0","1084.0","258.0","614.0","555.0","59.0","222.0","81.0","141.0","182.0","70.0","112.0","40.0","11.0","29.0","180.0","149.0","31.0","155.0","123.0","32.0","24.0","18.0","6.0","131.0","105.0","26.0","18.0","18.0","0.0","0.0","0.0","0.0","18.0","18.0","0.0","21.0","21.0","0.0"
"AL","8.0","3970.0","2943.0","1027.0","2868.0","2076.0","792.0","1102.0","867.0","235.0","607.0","168.0","439.0","557.0","157.0","400.0","50.0","11.0","39.0","474.0","399.0","75.0","228.0","168.0","60.0","32.0","27.0","5.0","196.0","141.0","55.0","25.0","21.0","4.0","5.0","5.0","0.0","20.0","16.0","4.0","35.0","29.0","6.0"
"AR","7.0","2560.0","1678.0","882.0","1833.0","1089.0","744.0","727.0","589.0","138.0","623.0","319.0","304.0","524.0","234.0","290.0","99.0","85.0","14.0","456.0","385.0","71.0","188.0","95.0","93.0","0.0","0.0","0.0","188.0","95.0","93.0","22.0","22.0","0.0","0.0","0.0","0.0","22.0","22.0","0.0","20.0","20.0","0.0"
"AZ","3.0","9896.0","6939.0","2957.0","6548.0","3824.0","2724.0","3348.0","3115.0","233.0","1366.0","344.0","1022.0","1246.0","297.0","949.0","120.0","47.0","73.0","1220.0","672.0","548.0","621.0","450.0","171.0","83.0","79.0","4.0","538.0","371.0","167.0","166.0","156.0","10.0","6.0","6.0","0.0","160.0","150.0","10.0","194.0","185.0","9.0"
"CA","43.0","115738.0","42039.0","73699.0","93156.0","24843.0","68313.0","22582.0","17196.0","5386.0","32227.0","5077.0","27150.0","29178.0","4169.0","25009.0","3049.0","908.0","2141.0","11311.0","4309.0","7002.0","10416.0","2464.0","7952.0","892.0","260.0","632.0","9524.0","2204.0","7320.0","854.0","770.0","84.0","11.0","11.0","0.0","843.0","759.0","84.0","1160.0","1039.0","121.0"
"CO","3.0","9953.0","7134.0","2819.0","5729.0","3739.0","1990.0","4224.0","3395.0","829.0","1877.0","882.0","995.0","1572.0","754.0","818.0","305.0","128.0","177.0","950.0","644.0","306.0","566.0","360.0","206.0","82.0","74.0","8.0","484.0","286.0","198.0","171.0","146.0","25.0","1.0","0.0","1.0","170.0","146.0","24.0","226.0","197.0","29.0"
"CT","3.0","4047.0","3421.0","626.0","2719.0","2124.0","595.0","1328.0","1297.0","31.0","583.0","278.0","305.0","538.0","240.0","298.0","45.0","38.0","7.0","282.0","241.0","41.0","124.0","92.0","32.0","11.0","11.0","0.0","113.0","81.0","32.0","43.0","41.0","2.0","0.0","0.0","0.0","43.0","41.0","2.0","65.0","63.0","2.0"
"DC","1.0","7298.0","6754.0","544.0","3821.0","3277.0","544.0","3477.0","3477.0","0.0","1790.0","1470.0","320.0","1593.0","1273.0","320.0","197.0","197.0","0.0","408.0","366.0","42.0","200.0","183.0","17.0","7.0","7.0","0.0","193.0","176.0","17.0","366.0","366.0","0.0","0.0","0.0","0.0","366.0","366.0","0.0","544.0","544.0","0.0"
"DE","1.0","953.0","916.0","37.0","602.0","565.0","37.0","351.0","351.0","0.0","80.0","75.0","5.0","64.0","59.0","5.0","16.0","16.0","0.0","79.0","74.0","5.0","57.0","56.0","1.0","3.0","3.0","0.0","54.0","53.0","1.0","21.0","21.0","0.0","0.0","0.0","0.0","21.0","21.0","0.0","41.0","41.0","0.0"
"FL","27.0","35900.0","18883.0","17017.0","26325.0","12033.0","14292.0","9575.0","6850.0","2725.0","6540.0","1383.0","5157.0","6021.0","1210.0","4811.0","519.0","173.0","346.0","3926.0","2372.0","1554.0","2371.0","1207.0","1164.0","593.0","321.0","272.0","1778.0","886.0","892.0","315.0","278.0","37.0","10.0","10.0","0.0","305.0","268.0","37.0","449.0","397.0","52.0"
"GA","9.0","13790.0","7987.0","5803.0","9702.0","4783.0","4919.0","4088.0","3204.0","884.0","2137.0","622.0","1515.0","1994.0","568.0","1426.0","143.0","54.0","89.0","1548.0","866.0","682.0","575.0","292.0","283.0","15.0","11.0","4.0","560.0","281.0","279.0","51.0","45.0","6.0","0.0","0.0","0.0","51.0","45.0","6.0","98.0","79.0","19.0"
"GU","1.0","1280.0","87.0","1193.0","306.0","23.0","283.0","974.0","64.0","910.0","153.0","0.0","153.0","27.0","0.0","27.0","126.0","0.0","126.0","23.0","1.0","22.0","7.0","1.0","6.0","1.0","1.0","0.0","6.0","0.0","6.0","12.0","0.0","12.0","0.0","0.0","0.0","12.0","0.0","12.0","10.0","0.0","10.0"
"HI","2.0","7620.0","3777.0","3843.0","4307.0","1243.0","3064.0","3313.0","2534.0","779.0","1534.0","180.0","1354.0","1372.0","153.0","1219.0","162.0","27.0","135.0","692.0","275.0","417.0","303.0","76.0","227.0","24.0","8.0","16.0","279.0","68.0","211.0","95.0","70.0","25.0","1.0","0.0","1.0","94.0","70.0","24.0","93.0","71.0","22.0"
"IA","3.0","3081.0","2878.0","203.0","1501.0","1302.0","199.0","1580.0","1576.0","4.0","275.0","221.0","54.0","201.0","147.0","54.0","74.0","74.0","0.0","207.0","175.0","32.0","179.0","176.0","3.0","7.0","7.0","0.0","172.0","169.0","3.0","124.0","124.0","0.0","4.0","4.0","0.0","120.0","120.0","0.0","139.0","139.0","0.0"
"ID","2.0","1966.0","1497.0","469.0","1172.0","832.0","340.0","794.0","665.0","129.0","245.0","112.0","133.0","164.0","84.0","80.0","81.0","28.0","53.0","249.0","174.0","75.0","129.0","91.0","38.0","4.0","3.0","1.0","125.0","88.0","37.0","22.0","19.0","3.0","0.0","0.0","0.0","22.0","19.0","3.0","31.0","29.0","2.0"
"IL","20.0","13177.0","10463.0","2714.0","8152.0","5599.0","2553.0","5025.0","4864.0","161.0","1912.0","994.0","918.0","1799.0","892.0","907.0","113.0","102.0","11.0","1226.0","769.0","457.0","832.0","680.0","152.0","38.0","33.0","5.0","794.0","647.0","147.0","351.0","345.0","6.0","2.0","2.0","0.0","349.0","343.0","6.0","522.0","514.0","8.0"
"IN","3.0","5863.0","5280.0","583.0","3914.0","3353.0","561.0","1949.0","1927.0","22.0","703.0","529.0","174.0","608.0","450.0","158.0","95.0","79.0","16.0","790.0","726.0","64.0","373.0","333.0","40.0","36.0","36.0","0.0","337.0","297.0","40.0","103.0","102.0","1.0","3.0","3.0","0.0","100.0","99.0","1.0","149.0","147.0","2.0"
"KS","5.0","2588.0","2283.0","305.0","1466.0","1191.0","275.0","1122.0","1092.0","30.0","379.0","245.0","134.0","339.0","214.0","125.0","40.0","31.0","9.0","311.0","276.0","35.0","89.0","72.0","17.0","3.0","3.0","0.0","86.0","69.0","17.0","28.0","27.0","1.0","0.0","0.0","0.0","28.0","27.0","1.0","31.0","30.0","1.0"
"KY","3.0","4538.0","3796.0","742.0","3151.0","2622.0","529.0","1387.0","1174.0","213.0","457.0","413.0","44.0","383.0","345.0","38.0","74.0","68.0","6.0","591.0","541.0","50.0","248.0","194.0","54.0","27.0","27.0","0.0","221.0","167.0","54.0","75.0","64.0","11.0","0.0","0.0","0.0","75.0","64.0","11.0","99.0","90.0","9.0"
"LA","9.0","4081.0","2890.0","1191.0","3217.0","2053.0","1164.0","864.0","837.0","27.0","773.0","287.0","486.0","735.0","255.0","480.0","38.0","32.0","6.0","392.0","350.0","42.0","389.0","233.0","156.0","30.0","27.0","3.0","359.0","206.0","153.0","61.0","61.0","0.0","0.0","0.0","0.0","61.0","61.0","0.0","105.0","105.0","0.0"
