"county","year","totals","rates","Polarity"
"Marin","2008",1002,0,"Positive"
"Marin","2009",1026,2.39520958083832,"Positive"
"Marin","2010",1026,2.39520958083832,"Positive"
"Marin","2011",862,-13.9720558882236,"Negative"
"Marin","2012",725,-27.6447105788423,"Negative"
"Marin","2013",676,-32.5349301397206,"Negative"
"Marin","2014",679,-32.2355289421158,"Negative"
"Marin","2015",1318,31.5369261477046,"Positive"
"Marin","2016",1258,25.5489021956088,"Positive"
"Marin","2017",1117,11.4770459081836,"Positive"
"San Francisco","2008",5171,-9.32842363668245,"Negative"
"San Francisco","2009",5823,2.10415570752236,"Positive"
"San Francisco","2010",5823,2.10415570752236,"Positive"
"San Francisco","2011",5669,-0.596177450464663,"Negative"
"San Francisco","2012",5895,3.36664913203577,"Positive"
"San Francisco","2013",7008,22.8826933193056,"Positive"
"San Francisco","2014",6408,12.3619147816938,"Positive"
"San Francisco","2015",6775,18.797124320533,"Positive"
"San Francisco","2016",6996,22.6722777485534,"Positive"
"San Francisco","2017",6858,20.2524986849027,"Positive"
"San Benito","2008",1402,0,"Positive"
"San Benito","2009",2407,71.6833095577746,"Positive"
"San Benito","2010",2407,71.6833095577746,"Positive"
"San Benito","2011",2699,92.5106990014265,"Positive"
"San Benito","2012",2673,90.6562054208274,"Positive"
"San Benito","2013",2955,110.77032810271,"Positive"
"San Benito","2014",2962,111.269614835949,"Positive"
"San Benito","2015",2959,111.055634807418,"Positive"
"San Benito","2016",3022,115.549215406562,"Positive"
"San Benito","2017",3364,139.942938659058,"Positive"
"San Luis Obispo","2008",850,-64.7009966777409,"Negative"
"San Luis Obispo","2009",3829,59.0116279069767,"Positive"
"San Luis Obispo","2010",3829,59.0116279069767,"Positive"
"San Luis Obispo","2011",2129,-11.5863787375415,"Negative"
"San Luis Obispo","2012",2129,-11.5863787375415,"Negative"
"San Luis Obispo","2013",2357,-2.11794019933554,"Negative"
"San Luis Obispo","2014",2366,-1.74418604651163,"Negative"
"San Luis Obispo","2015",1515,-37.0847176079734,"Negative"
"San Luis Obispo","2016",1368,-43.1893687707641,"Negative"
"San Luis Obispo","2017",1125,-53.28073089701,"Negative"
"Orange","2008",3649,0,"Positive"
"Orange","2009",8333,128.363935324747,"Positive"
"Orange","2010",8333,128.363935324747,"Positive"
"Orange","2011",6939,90.1616881337353,"Positive"
"Orange","2012",7010,92.1074266922445,"Positive"
"Orange","2013",4251,16.4976705946835,"Positive"
"Orange","2014",3833,5.04247739106605,"Positive"
"Orange","2015",4452,22.0060290490545,"Positive"
"Orange","2016",4319,18.3611948479035,"Positive"
"Orange","2017",4792,31.3236503151548,"Positive"
"Humboldt","2008",907,0,"Positive"
"Humboldt","2009",1355,49.393605292172,"Positive"
"Humboldt","2010",1355,49.393605292172,"Positive"
"Humboldt","2011",861,-5.07166482910695,"Negative"
"Humboldt","2012",846,-6.72546857772878,"Negative"
"Humboldt","2013",864,-4.74090407938258,"Negative"
"Humboldt","2014",932,2.75633958103638,"Positive"
"Humboldt","2015",1180,30.0992282249173,"Positive"
"Humboldt","2016",1134,25.0275633958104,"Positive"
"Humboldt","2017",759,-16.3175303197354,"Negative"
"Trinity","2008",193,24.5161290322581,"Positive"
"Trinity","2009",197,27.0967741935484,"Positive"
"Trinity","2010",197,27.0967741935484,"Positive"
"Trinity","2011",322,107.741935483871,"Positive"
"Trinity","2012",303,95.4838709677419,"Positive"
"Trinity","2013",696,349.032258064516,"Positive"
"Trinity","2014",567,265.806451612903,"Positive"
"Trinity","2015",136,-12.258064516129,"Negative"
"Trinity","2016",115,-25.8064516129032,"Negative"
"Trinity","2017",176,13.5483870967742,"Positive"
"Butte","2008",592,-59.9458728010825,"Negative"
"Butte","2009",689,-53.382949932341,"Negative"
"Butte","2010",742,-49.7970230040595,"Negative"
"Butte","2011",897,-39.3098782138024,"Negative"
"Butte","2012",897,-39.3098782138024,"Negative"
"Butte","2013",712,-51.8267929634641,"Negative"
"Butte","2014",696,-52.9093369418133,"Negative"
"Butte","2015",571,-61.3667117726658,"Negative"
"Butte","2016",574,-61.1637347767253,"Negative"
"Butte","2017",1195,-19.1474966170501,"Negative"
"Placer","2008",587,0,"Positive"
"Placer","2009",1054,79.557069846678,"Positive"
"Placer","2010",1054,79.557069846678,"Positive"
"Placer","2011",821,39.8637137989779,"Positive"
"Placer","2012",742,26.4054514480409,"Positive"
"Placer","2013",908,54.6848381601363,"Positive"
"Placer","2014",762,29.8126064735945,"Positive"
"Placer","2015",796,35.6047700170358,"Positive"
"Placer","2016",1021,73.9352640545145,"Positive"
"Placer","2017",979,66.7802385008518,"Positive"
"Sutter","2008",594,64.0883977900552,"Positive"
"Sutter","2009",411,13.5359116022099,"Positive"
"Sutter","2010",512,41.4364640883978,"Positive"
"Sutter","2011",649,79.2817679558011,"Positive"
"Sutter","2012",492,35.9116022099448,"Positive"
"Sutter","2013",1485,310.220994475138,"Positive"
"Sutter","2014",726,100.552486187845,"Positive"
"Sutter","2015",716,97.7900552486188,"Positive"
"Sutter","2016",702,93.9226519337017,"Positive"
"Sutter","2017",760,109.944751381215,"Positive"
"Yolo","2008",414,0,"Positive"
"Yolo","2009",491,18.5990338164251,"Positive"
"Yolo","2010",491,18.5990338164251,"Positive"
"Yolo","2011",468,13.0434782608696,"Positive"
"Yolo","2012",513,23.9130434782609,"Positive"
"Yolo","2013",474,14.4927536231884,"Positive"
"Yolo","2014",442,6.7632850241546,"Positive"
"Yolo","2015",498,20.2898550724638,"Positive"
"Yolo","2016",532,28.5024154589372,"Positive"
"Yolo","2017",459,10.8695652173913,"Positive"
"Napa","2008",365,0,"Positive"
"Napa","2009",314,-13.972602739726,"Negative"
"Napa","2010",314,-13.972602739726,"Negative"
"Napa","2011",230,-36.986301369863,"Negative"
"Napa","2012",248,-32.0547945205479,"Negative"
"Napa","2013",245,-32.8767123287671,"Negative"
"Napa","2014",285,-21.9178082191781,"Negative"
"Napa","2015",293,-19.7260273972603,"Negative"
"Napa","2016",317,-13.1506849315069,"Negative"
"Napa","2017",315,-13.6986301369863,"Negative"
"Sonoma","2008",1314,0,"Positive"
"Sonoma","2009",3247,147.108066971081,"Positive"
"Sonoma","2010",3345,154.566210045662,"Positive"
"Sonoma","2011",4541,245.58599695586,"Positive"
"Sonoma","2012",4483,241.17199391172,"Positive"
"Sonoma","2013",4280,225.72298325723,"Positive"
"Sonoma","2014",4266,224.657534246575,"Positive"
"Sonoma","2015",3097,135.692541856925,"Positive"
"Sonoma","2016",2906,121.156773211568,"Positive"
"Sonoma","2017",2835,115.753424657534,"Positive"
"Amador","2008",400,0,"Positive"
"Amador","2009",372,-6.99999999999999,"Negative"
"Amador","2010",289,-27.75,"Negative"
"Amador","2011",406,1.49999999999999,"Positive"
"Amador","2012",379,-5.25,"Negative"
"Amador","2013",376,-6.00000000000001,"Negative"
"Amador","2014",382,-4.5,"Negative"
"Amador","2015",430,7.5,"Positive"
"Amador","2016",632,58,"Positive"
"Amador","2017",367,-8.25,"Negative"
"San Joaquin","2008",2354,-5.04235578862444,"Negative"
"San Joaquin","2009",3005,21.2182331585317,"Positive"
"San Joaquin","2010",3005,21.2182331585317,"Positive"
"San Joaquin","2011",2540,2.46066962484872,"Positive"
"San Joaquin","2012",1569,-36.708350141186,"Negative"
"San Joaquin","2013",1541,-37.8378378378378,"Negative"
"San Joaquin","2014",1588,-35.9419120613151,"Negative"
"San Joaquin","2015",1708,-31.1012505042356,"Negative"
"San Joaquin","2016",1780,-28.1968535699879,"Negative"
"San Joaquin","2017",1542,-37.7974989915288,"Negative"
"Solano","2008",1956,0,"Positive"
"Solano","2009",829,-57.6175869120654,"Negative"
"Solano","2010",829,-57.6175869120654,"Negative"
"Solano","2011",569,-70.9100204498977,"Negative"
"Solano","2012",622,-68.200408997955,"Negative"
"Solano","2013",1329,-32.0552147239264,"Negative"
"Solano","2014",1295,-33.7934560327198,"Negative"
"Solano","2015",1082,-44.6830265848671,"Negative"
"Solano","2016",1118,-42.8425357873211,"Negative"
"Solano","2017",1232,-37.0143149284254,"Negative"
"Contra Costa","2008",4062,0,"Positive"
"Contra Costa","2009",2759,-32.0777941900542,"Negative"
"Contra Costa","2010",2759,-32.0777941900542,"Negative"
"Contra Costa","2011",2415,-40.5465288035451,"Negative"
"Contra Costa","2012",2386,-41.260462826194,"Negative"
"Contra Costa","2013",2000,-50.7631708517971,"Negative"
"Contra Costa","2014",2009,-50.5416051206302,"Negative"
"Contra Costa","2015",2031,-50,"Negative"
"Contra Costa","2016",1730,-57.4101427868045,"Negative"
"Contra Costa","2017",1607,-60.438207779419,"Negative"
"Stanislaus","2008",1593,0,"Positive"
"Stanislaus","2009",1800,12.9943502824859,"Positive"
"Stanislaus","2010",1800,12.9943502824859,"Positive"
"Stanislaus","2011",1434,-9.98116760828626,"Negative"
"Stanislaus","2012",1470,-7.72128060263654,"Negative"
"Stanislaus","2013",1201,-24.6076585059636,"Negative"
"Stanislaus","2014",1156,-27.4325172630257,"Negative"
"Stanislaus","2015",1408,-11.6133082234777,"Negative"
"Stanislaus","2016",1434,-9.98116760828626,"Negative"
"Stanislaus","2017",1661,4.26867545511613,"Positive"
"Alameda","2008",4838,0,"Positive"
"Alameda","2009",4341,-10.2728400165358,"Negative"
"Alameda","2010",4341,-10.2728400165358,"Negative"
"Alameda","2011",4178,-13.6420008267879,"Negative"
"Alameda","2012",4257,-12.0090946672179,"Negative"
"Alameda","2013",4264,-11.864406779661,"Negative"
"Alameda","2014",4272,-11.6990491938818,"Negative"
"Alameda","2015",4040,-16.4944191814799,"Negative"
"Alameda","2016",4145,-14.3241008681273,"Negative"
"Alameda","2017",5629,16.3497312939231,"Positive"
"San Mateo","2008",1798,0,"Positive"
"San Mateo","2009",1567,-12.8476084538376,"Negative"
"San Mateo","2010",1424,-20.8008898776418,"Negative"
"San Mateo","2011",1926,7.11902113459399,"Positive"
"San Mateo","2012",1845,2.61401557285874,"Positive"
"San Mateo","2013",1995,10.9566184649611,"Positive"
"San Mateo","2014",2024,12.5695216907675,"Positive"
"San Mateo","2015",1483,-17.5194660734149,"Negative"
"San Mateo","2016",1361,-24.3047830923248,"Negative"
"San Mateo","2017",1253,-30.3114571746385,"Negative"
"Merced","2008",2455,-7.04278682317304,"Negative"
"Merced","2009",372,-85.9144263536539,"Negative"
"Merced","2010",372,-85.9144263536539,"Negative"
"Merced","2011",486,-81.597879591064,"Negative"
"Merced","2012",502,-80.99204846649,"Negative"
"Merced","2013",372,-85.9144263536539,"Negative"
"Merced","2014",768,-70.9201060204468,"Negative"
"Merced","2015",898,-65.9977281332828,"Negative"
"Merced","2016",516,-80.4619462324877,"Negative"
"Merced","2017",454,-82.809541840212,"Negative"
"Santa Clara","2008",7202,0,"Positive"
"Santa Clara","2009",7086,-1.61066370452652,"Negative"
"Santa Clara","2010",7086,-1.61066370452652,"Negative"
"Santa Clara","2011",7067,-1.87447931130241,"Negative"
"Santa Clara","2012",7053,-2.06886975840045,"Negative"
"Santa Clara","2013",7631,5.95667870036101,"Positive"
"Santa Clara","2014",7567,5.06803665648432,"Positive"
"Santa Clara","2015",6556,-8.96973063038045,"Negative"
"Santa Clara","2016",6524,-9.4140516523188,"Negative"
"Santa Clara","2017",7394,2.6659261316301,"Positive"
"Santa Cruz","2008",2789,0,"Positive"
"Santa Cruz","2009",2265,-18.7880960917892,"Negative"
"Santa Cruz","2010",2265,-18.7880960917892,"Negative"
"Santa Cruz","2011",2771,-0.64539261384009,"Negative"
"Santa Cruz","2012",2735,-1.93617784152026,"Negative"
"Santa Cruz","2013",3536,26.7837934743636,"Positive"
"Santa Cruz","2014",3529,26.5328074578702,"Positive"
"Santa Cruz","2015",1964,-29.5804948010039,"Negative"
"Santa Cruz","2016",1959,-29.7597705270706,"Negative"
"Santa Cruz","2017",2249,-19.3617784152026,"Negative"
"Tulare","2008",1040,-5.96745027124774,"Negative"
"Tulare","2009",966,-12.6582278481013,"Negative"
"Tulare","2010",966,-12.6582278481013,"Negative"
"Tulare","2011",804,-27.3056057866184,"Negative"
"Tulare","2012",771,-30.2893309222423,"Negative"
"Tulare","2013",705,-36.25678119349,"Negative"
"Tulare","2014",763,-31.0126582278481,"Negative"
"Tulare","2015",862,-22.0614828209765,"Negative"
"Tulare","2016",792,-28.3905967450271,"Negative"
"Tulare","2017",853,-22.875226039783,"Negative"
"Kern","2008",1537,0,"Positive"
"Kern","2009",1499,-2.47234873129473,"Negative"
"Kern","2010",1499,-2.47234873129473,"Negative"
"Kern","2011",1439,-6.37605725439168,"Negative"
"Kern","2012",1352,-12.0364346128822,"Negative"
"Kern","2013",1152,-25.0487963565387,"Negative"
"Kern","2014",992,-35.4586857514639,"Negative"
"Kern","2015",954,-37.9310344827586,"Negative"
"Kern","2016",1067,-30.5790500975927,"Negative"
"Kern","2017",810,-47.2999349381913,"Negative"
"San Bernardino","2008",6969,0,"Positive"
"San Bernardino","2009",2026,-70.9283971875448,"Negative"
"San Bernardino","2010",2026,-70.9283971875448,"Negative"
"San Bernardino","2011",2825,-59.4633376381116,"Negative"
"San Bernardino","2012",2532,-63.6676711149376,"Negative"
